id,name,status,category,x,y,width,height,fill
"rect_63","Facility 63","destroyed","Fuel Production","4675.4","1102.41","272","96","#FFC7C2"
"rect_64","Facility 64","destroyed","Fuel Production","4675.4","1230.41","272","96","#FFC7C2"
"rect_65","Facility 65","destroyed","Fuel Production","3395.4","1865.18","272","96","#FFC7C2"
"rect_66","Facility 66","operational","Fuel Production","3299.4","450.41","272","80","#BCD8F0"
"rect_67","Facility 67","operational","Fuel Production","4115.4","458.41","272","80","#BCD8F0"
"rect_68","Facility 68","operational","Fuel Production","4675.4","1358.41","272","96","#BCD8F0"
"rect_69","Facility 69","operational","Fuel Production","3995.4","2223.18","272","96","#BCD8F0"
"circle_70","Facility 70","construction","Fuel Production","755.1284999999999","334.25350000000003","40.313","40.313","#874FFF"
"circle_71","Facility 71","construction","Fuel Production","2236.94","1292.91","50","50","#874FFF"
"circle_72","Facility 72","construction","Fuel Production","1669.5735","2081.1635","40.313","40.313","#874FFF"
"circle_73","Facility 73","construction","Fuel Production","1701.7335","1939.5835","40.313","40.313","#874FFF"
"circle_74","Facility 74","construction","Fuel Production","871.271","2081.24","50","50","#874FFF"
